,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender
0,-43,6,critical,radio/tv,1169,,13 years,4,single,none,6 years,real estate,67,none,own,2,0,1,+2349339647,yes,skilled employee,male
1,75,48,repaid,radio/tv,5951,89,2 years,2,,none,5 months,real estate,22,none,own,1,1,1,,yes,skilled employee,female
2,,12,critical,education,2096,24,5 years,2,single,none,4 years,real estate,49,none,own,1,0,2,,yes,unskilled resident,male
3,-32,42,repaid,furniture,7882,9,5 years,2,single,guarantor,13 years,building society savings,45,none,for free,1,0,2,,yes,skilled employee,male
4,-23,24,delayed,car (new),4870,43,3 years,3,single,none,13 years,unknown/none,53,none,for free,2,1,2,,yes,skilled employee,male
5,,36,repaid,education,9055,,2 years,2,single,none,8 years,unknown/none,35,none,for free,1,0,2,+2345787903,yes,unskilled resident,male
6,,24,repaid,furniture,2835,761,11 years,3,single,none,12 years,building society savings,53,none,own,1,0,1,,yes,skilled employee,male
7,169,36,repaid,car (used),6948,57,2 years,2,single,none,3 months,other,35,none,rent,1,0,1,+2349961683,yes,mangement self-employed,male
8,,12,repaid,radio/tv,3059,18426,4 years,2,divorced,none,24 years,real estate,61,none,own,1,0,1,,yes,unskilled resident,male
9,13,30,critical,car (new),5234,52,,4,married,none,10 months,other,28,none,own,2,1,1,,yes,mangement self-employed,male
10,26,12,repaid,car (new),1295,93,6 months,3,,none,,other,25,none,rent,1,1,1,,yes,skilled employee,female
11,-31,48,repaid,business,4308,71,5 months,3,,none,10 years,building society savings,24,none,rent,1,1,1,,yes,skilled employee,female
12,23,12,repaid,radio/tv,1567,48,2 years,1,,none,,other,22,none,own,1,0,1,+2343498747,yes,skilled employee,female
13,-36,24,critical,car (new),1199,32,16 years,4,single,none,24 years,other,60,none,own,2,1,1,,yes,unskilled resident,male
14,-23,15,repaid,car (new),1403,86,3 years,2,,none,19 years,other,28,none,rent,1,0,1,,yes,skilled employee,female
15,-6,24,repaid,radio/tv,1282,209,1 years,4,,none,0 months,other,32,none,own,1,1,1,,yes,unskilled resident,female
16,,24,critical,radio/tv,2424,,17 years,4,single,none,7 years,building society savings,53,none,own,2,0,1,,yes,skilled employee,male
17,-34,30,fully repaid,business,8072,,3 months,2,single,none,3 years,other,25,bank,own,3,0,1,,yes,skilled employee,male
18,83,24,repaid,car (used),12579,16,17 years,4,,none,8 months,unknown/none,44,none,for free,1,1,1,+2340724318,yes,mangement self-employed,female
19,,24,repaid,radio/tv,3430,535,9 years,3,single,none,7 months,other,31,none,own,1,0,2,+2340534057,yes,skilled employee,male
20,,9,critical,car (new),2134,97,1 years,4,single,none,14 years,other,48,none,own,3,0,1,+2343322974,yes,skilled employee,male
21,-8,6,repaid,radio/tv,2647,530,1 years,2,single,none,3 years,real estate,44,none,rent,1,0,2,,yes,skilled employee,male
22,-18,10,critical,car (new),2241,14,4 months,1,single,none,1 years,real estate,48,none,rent,2,0,2,,no,unskilled resident,male
23,113,12,critical,car (used),1804,361,3 months,3,single,none,16 years,building society savings,44,none,own,1,0,1,,yes,skilled employee,male
24,,10,critical,furniture,2069,,2 years,2,married,none,,other,26,none,own,2,0,1,,no,skilled employee,male
25,-21,6,repaid,furniture,1374,75,2 years,1,single,none,3 months,real estate,36,bank,own,1,0,1,+2341353326,yes,unskilled resident,male
26,,6,fully repaid,radio/tv,426,67,10 years,4,married,none,14 years,other,39,none,own,1,0,1,,yes,unskilled resident,male
27,979,12,fully repaid this bank,radio/tv,409,7858,1 years,3,,none,1 years,real estate,42,none,rent,2,0,1,,yes,skilled employee,female
28,162,7,repaid,radio/tv,2415,10,3 years,3,single,guarantor,6 months,real estate,34,none,own,1,0,1,,yes,skilled employee,male
29,-2,60,delayed,business,6836,73,10 years,3,single,none,10 years,unknown/none,63,none,own,2,1,1,+2347105934,yes,skilled employee,male
30,191,18,repaid,business,1913,9343,10 months,3,married,none,2 years,real estate,36,bank,own,1,0,1,+2342557009,yes,skilled employee,male
31,-31,24,repaid,furniture,4020,28,3 years,2,single,none,10 months,other,27,stores,own,1,0,1,,yes,skilled employee,male
32,116,18,repaid,car (new),5866,205,3 years,2,single,none,3 months,other,30,none,own,2,0,1,+2344540410,yes,skilled employee,male
33,,12,critical,business,1264,,11 years,4,single,none,20 years,unknown/none,57,none,rent,1,0,1,,yes,unskilled resident,male
34,837,12,repaid,furniture,1474,62,1 months,4,,none,,building society savings,33,bank,own,1,0,1,+2343153513,yes,mangement self-employed,female
35,59,45,critical,radio/tv,4746,63,7 months,4,single,none,6 months,building society savings,25,none,own,2,1,1,,yes,unskilled resident,male
36,,48,critical,education,6110,41,2 years,1,single,none,2 years,unknown/none,31,bank,for free,1,0,1,+2342603711,yes,skilled employee,male
37,884,18,repaid,radio/tv,2100,4,1 years,4,single,co-applicant,11 months,real estate,37,stores,own,1,1,1,,yes,skilled employee,male
38,646,10,repaid,domestic appliances,1225,42,3 years,2,single,none,5 months,other,37,none,own,1,0,1,+2347816684,yes,skilled employee,male
39,128,9,repaid,radio/tv,458,41,1 years,4,single,none,2 years,real estate,24,none,own,1,0,1,,yes,skilled employee,male
40,,30,repaid,radio/tv,2333,957,19 years,4,single,none,8 months,other,30,bank,own,1,0,1,,yes,mangement self-employed,male
41,162,12,repaid,radio/tv,1158,641,2 years,3,divorced,none,,other,26,none,own,1,0,1,+2343032970,yes,skilled employee,male
42,126,18,delayed,repairs,6204,90,1 years,2,single,none,14 years,real estate,44,none,own,1,0,2,+2340366370,yes,unskilled resident,male
43,-19,30,critical,car (used),6187,118,7 years,1,married,none,16 years,other,24,none,rent,2,0,1,,yes,skilled employee,male
44,-1,48,critical,car (used),6143,12,14 years,4,,none,21 years,unknown/none,58,stores,for free,2,1,1,,yes,unskilled resident,female
45,,11,critical,car (new),1393,75,1 months,4,,none,5 years,other,35,none,own,2,0,1,,yes,mangement self-employed,female
46,,36,repaid,radio/tv,2299,880,17 years,4,single,none,8 years,other,39,none,own,1,0,1,,yes,skilled employee,male
47,-8,6,repaid,car (used),1352,879,,1,,none,6 months,building society savings,23,none,rent,1,0,1,+2342430213,yes,unemployed non-resident,female
48,,11,critical,car (new),7228,99,1 years,1,single,none,8 years,building society savings,39,none,own,2,0,1,,yes,unskilled resident,male
49,,12,repaid,radio/tv,2073,308,3 years,4,,co-applicant,0 months,real estate,28,none,own,1,0,1,,yes,skilled employee,female
50,14,24,delayed,furniture,2333,,3 months,4,single,none,9 months,building society savings,29,bank,own,1,0,1,,yes,unskilled resident,male
51,39,27,delayed,car (used),5965,78,18 years,1,single,none,2 months,other,30,none,own,2,0,1,+2348786695,yes,mangement self-employed,male
52,,12,repaid,radio/tv,1262,50,3 years,3,single,none,10 months,other,25,none,own,1,0,1,,yes,skilled employee,male
53,,18,repaid,car (used),3378,,2 years,2,single,none,,building society savings,31,none,own,1,0,1,+2340778348,yes,skilled employee,male
54,73,36,delayed,car (new),2225,31,13 years,4,single,none,24 years,unknown/none,57,bank,for free,2,1,1,+2341713739,yes,skilled employee,male
55,,6,fully repaid this bank,car (new),783,,3 years,1,single,guarantor,9 months,real estate,26,stores,own,1,0,2,,yes,unskilled resident,male
56,3,12,repaid,radio/tv,6468,,,2,single,none,,unknown/none,52,none,own,1,1,1,+2349011922,yes,mangement self-employed,male
57,,36,critical,radio/tv,9566,81,1 years,2,,none,8 months,other,31,stores,own,2,0,1,,yes,skilled employee,female
58,873,18,repaid,car (new),1961,35,13 years,3,,none,7 months,other,23,none,own,1,0,1,,yes,mangement self-employed,female
59,-50,36,critical,furniture,6229,30,1 months,4,,co-applicant,15 years,unknown/none,23,none,rent,2,1,1,+2341219941,yes,unskilled resident,female
60,103,9,repaid,business,1391,37,2 years,2,married,none,,real estate,27,bank,own,1,0,1,+2343398051,yes,skilled employee,male
61,184,15,critical,radio/tv,1537,,18 years,4,single,guarantor,11 years,real estate,50,none,own,2,0,1,+2348595204,yes,skilled employee,male
62,155,36,fully repaid,business,1953,73,18 years,4,single,none,5 years,unknown/none,61,none,for free,1,1,1,+2345964296,yes,mangement self-employed,male
63,69,48,fully repaid,business,14421,82,2 years,2,single,none,0 months,other,25,none,own,1,1,1,+2349541254,yes,skilled employee,male
64,,24,repaid,radio/tv,3181,16,4 months,4,,none,18 years,building society savings,26,none,own,1,0,1,+2348508323,yes,skilled employee,female
65,,27,repaid,repairs,5190,,17 years,4,single,none,19 years,building society savings,48,none,own,4,0,2,+2344192892,yes,skilled employee,male
66,,12,repaid,radio/tv,2171,82,3 months,2,,none,8 months,other,29,bank,own,1,0,1,,yes,skilled employee,female
67,73,12,repaid,car (new),1007,4865,3 years,4,married,none,,real estate,22,none,own,1,0,1,,yes,skilled employee,male
68,,36,repaid,education,1819,89,1 years,4,single,none,22 years,unknown/none,37,stores,for free,1,1,1,+2349135239,yes,skilled employee,male
69,,36,repaid,radio/tv,2394,,2 years,4,,none,13 years,other,25,none,own,1,0,1,,yes,skilled employee,female
70,,36,repaid,car (used),8133,54,3 years,1,,none,3 months,building society savings,30,bank,own,1,0,1,,yes,skilled employee,female
71,,7,critical,radio/tv,730,,9 years,4,single,none,6 months,building society savings,46,none,rent,2,0,1,+2342967860,yes,unskilled resident,male
72,-15,8,critical,others,1164,98,16 years,3,single,none,14 years,unknown/none,51,bank,for free,2,0,2,+2346967962,yes,mangement self-employed,male
73,176,42,critical,business,5954,13,4 years,2,,none,,real estate,41,bank,own,2,0,1,,yes,unskilled resident,female
74,-31,36,repaid,education,1977,,7 years,4,single,none,23 years,unknown/none,40,none,own,1,1,1,+2343082436,yes,mangement self-employed,male
75,-17,12,critical,car (used),1526,7,16 years,4,single,none,20 years,unknown/none,66,none,for free,2,0,1,,yes,mangement self-employed,male
76,-16,42,repaid,radio/tv,3965,38,10 months,4,single,none,3 years,other,34,none,own,1,1,1,,yes,skilled employee,male
77,42,11,delayed,radio/tv,4771,54,4 years,2,single,none,19 years,building society savings,51,none,own,1,0,1,,yes,skilled employee,male
78,,54,fully repaid,car (used),9436,,1 years,2,single,none,1 months,building society savings,39,none,own,1,0,2,,yes,unskilled resident,male
79,146,30,repaid,furniture,3832,38,7 months,2,married,none,,building society savings,22,none,own,1,0,1,,yes,skilled employee,male
80,,24,repaid,radio/tv,5943,,0 months,1,,none,,other,44,none,own,2,1,1,+2348699497,yes,skilled employee,female
81,,15,repaid,radio/tv,1213,701,19 years,4,single,none,3 years,building society savings,47,stores,own,1,0,1,+2348884894,yes,skilled employee,male
82,,18,repaid,business,1568,419,3 years,3,,none,11 years,building society savings,24,none,rent,1,0,1,,yes,unskilled resident,female
83,-13,24,repaid,others,1755,29,14 years,4,,guarantor,18 years,real estate,58,none,own,1,0,1,+2348993166,yes,unskilled resident,female
84,-24,10,repaid,radio/tv,2315,77,15 years,3,single,none,13 years,real estate,52,none,own,1,0,1,,yes,unskilled resident,male
85,,12,critical,business,1412,93,1 years,4,,guarantor,0 months,real estate,29,none,own,2,0,1,+2348434531,yes,mangement self-employed,female
86,29,18,critical,furniture,1295,80,9 months,4,,none,,building society savings,27,none,own,2,0,1,,yes,skilled employee,female
87,55,36,repaid,education,12612,382,2 years,1,single,none,21 years,unknown/none,47,none,for free,1,1,2,+2342786353,yes,skilled employee,male
88,-48,18,repaid,car (new),2249,326,4 years,4,single,none,2 years,other,30,none,own,1,0,2,+2347534700,yes,mangement self-employed,male
89,-36,12,fully repaid,repairs,1108,55,6 years,4,single,none,1 years,real estate,28,none,own,2,1,1,,yes,skilled employee,male
90,,12,critical,radio/tv,618,35,8 years,4,single,none,13 years,real estate,56,none,own,1,0,1,,yes,skilled employee,male
91,-12,12,critical,car (used),1409,11,19 years,4,single,none,2 years,real estate,54,none,own,1,0,1,,yes,skilled employee,male
92,,12,critical,radio/tv,797,,17 years,4,,none,4 years,building society savings,33,bank,own,1,1,2,,yes,unskilled resident,female
93,587,24,critical,furniture,3617,,19 years,4,single,co-applicant,20 years,unknown/none,20,none,rent,2,0,1,,yes,skilled employee,male
94,153,12,repaid,car (new),1318,1836,12 years,4,single,none,20 years,real estate,54,none,own,1,0,1,+2345372626,yes,skilled employee,male
95,155,54,fully repaid,business,15945,88,11 months,3,single,none,9 years,unknown/none,58,none,rent,1,1,1,+2347068417,yes,skilled employee,male
96,,12,critical,education,2012,,7 years,4,,none,2 months,other,61,none,own,1,0,1,,yes,skilled employee,female
97,126,18,repaid,business,2622,120,2 years,4,single,none,10 years,other,34,none,own,1,0,1,,yes,skilled employee,male
98,76,36,critical,radio/tv,2337,35,9 years,4,single,none,22 years,real estate,36,none,own,1,0,1,,yes,skilled employee,male
99,152,20,delayed,car (used),7057,,7 years,3,single,none,20 years,building society savings,36,bank,rent,2,0,2,+2340595870,yes,mangement self-employed,male
100,,24,repaid,car (new),1469,355,12 years,4,married,none,23 years,real estate,41,none,rent,1,0,1,,yes,unskilled resident,male
101,41,36,repaid,radio/tv,2323,44,5 years,4,single,none,23 years,other,24,none,rent,1,0,1,,yes,skilled employee,male
102,,6,delayed,radio/tv,932,84,2 years,3,,none,4 months,real estate,24,none,own,1,0,1,,yes,skilled employee,female
103,195,9,critical,furniture,1919,60,5 years,4,single,none,3 years,other,35,none,rent,1,0,1,+2349472882,yes,skilled employee,male
104,,12,repaid,car (used),2445,,3 months,2,married,none,5 years,other,26,none,rent,1,0,1,+2342963285,yes,skilled employee,male
105,59,24,critical,others,11938,63,1 years,2,single,co-applicant,2 years,other,39,none,own,2,1,2,+2347135380,yes,mangement self-employed,male
106,,18,fully repaid this bank,car (new),6458,51,13 years,2,single,none,24 years,unknown/none,39,bank,own,2,1,2,+2346069513,yes,mangement self-employed,male
107,115,12,repaid,car (new),6078,66,6 years,2,single,none,8 months,other,32,none,own,1,0,1,,yes,skilled employee,male
108,-27,24,repaid,furniture,7721,,2 months,1,,none,11 months,building society savings,30,none,own,1,0,1,+2347727486,no,skilled employee,female
109,135,14,repaid,business,1410,999,14 years,1,married,none,5 months,real estate,35,none,own,1,0,1,+2343293474,yes,skilled employee,male
110,71,6,delayed,business,1449,154,10 years,1,divorced,none,8 months,other,31,bank,own,2,0,2,,yes,skilled employee,male
111,501,15,repaid,education,392,7,8 months,4,,none,18 years,building society savings,23,none,rent,1,0,1,+2345155695,yes,skilled employee,female
112,78,18,repaid,car (new),6260,35,4 years,3,single,none,1 years,real estate,28,none,rent,1,0,1,,yes,unskilled resident,male
113,,36,critical,car (new),7855,95,3 years,4,,none,11 months,real estate,25,stores,own,2,1,1,+2341217366,yes,skilled employee,female
114,-21,12,repaid,radio/tv,1680,841,12 years,3,married,none,,real estate,35,none,own,1,0,1,,yes,skilled employee,male
115,,48,critical,radio/tv,3578,,11 years,4,single,none,,real estate,47,none,own,1,0,1,+2341371354,yes,skilled employee,male
116,-41,42,repaid,radio/tv,7174,,4 years,4,,none,1 years,other,30,none,own,1,1,1,+2343357274,yes,mangement self-employed,female
117,-31,10,critical,furniture,2132,,7 months,2,,co-applicant,2 years,real estate,27,none,rent,2,0,1,,no,skilled employee,female
118,-28,33,critical,furniture,4281,670,1 years,1,,none,12 years,other,23,none,own,2,1,1,,yes,skilled employee,female
119,180,12,critical,car (new),2366,512,7 years,3,divorced,none,4 years,other,36,none,own,1,0,1,+2340616159,yes,mangement self-employed,male
120,-48,21,repaid,radio/tv,1835,9,2 years,3,,none,1 months,real estate,25,none,own,2,1,1,+2345434658,yes,skilled employee,female
121,,24,critical,car (used),3868,38,19 years,4,,none,9 months,other,41,none,rent,2,0,1,+2341212960,yes,mangement self-employed,female
122,,12,repaid,furniture,1768,58,3 years,3,single,none,9 months,real estate,24,none,rent,1,0,1,,yes,unskilled resident,male
123,771,10,critical,car (new),781,56,19 years,4,single,none,18 years,unknown/none,63,none,for free,2,0,1,+2348955918,yes,skilled employee,male
124,62,18,repaid,furniture,1924,,0 months,4,,none,2 years,real estate,27,none,rent,1,1,1,,yes,skilled employee,female
125,-1,12,critical,car (new),2121,49,1 years,4,single,none,3 months,building society savings,30,none,own,2,0,1,,yes,skilled employee,male
126,-18,12,repaid,radio/tv,701,16,1 years,4,married,none,8 months,real estate,40,none,own,1,0,1,,yes,unskilled resident,male
127,175,12,repaid,repairs,639,26,3 years,4,single,none,6 months,other,30,none,own,1,1,1,,yes,skilled employee,male
128,33,12,critical,car (used),1860,54,,4,single,none,1 months,other,34,none,own,2,0,1,+2349270250,yes,mangement self-employed,male
129,-23,12,critical,car (new),3499,19,3 years,3,,co-applicant,2 months,real estate,29,none,own,2,1,1,,yes,skilled employee,female
130,72,48,repaid,car (new),8487,,5 years,1,,none,7 months,other,24,none,own,1,0,1,,yes,skilled employee,female
131,-10,36,delayed,education,6887,33,3 years,4,single,none,1 years,building society savings,29,stores,own,1,1,1,+2341195399,yes,skilled employee,male
132,,15,repaid,furniture,2708,94,3 months,2,single,none,2 years,building society savings,27,bank,own,2,0,1,,yes,unskilled resident,male
133,,18,repaid,furniture,1984,31,1 years,4,single,none,14 years,unknown/none,47,bank,for free,2,0,1,,yes,skilled employee,male
134,,60,repaid,radio/tv,10144,445,4 years,2,,none,11 years,real estate,21,none,own,1,0,1,+2348130491,yes,skilled employee,female
135,,12,critical,radio/tv,1240,,16 years,4,,none,6 months,real estate,38,none,own,2,0,1,+2343035942,yes,skilled employee,female
136,,27,delayed,car (used),8613,18077,1 years,2,single,none,1 months,other,27,none,own,2,0,1,,yes,skilled employee,male
137,43,12,repaid,radio/tv,766,909,1 years,4,single,none,2 years,real estate,66,none,own,1,1,1,,yes,unskilled resident,male
138,113,15,critical,radio/tv,2728,,6 years,4,single,guarantor,8 months,real estate,35,bank,own,3,0,1,+2341105524,yes,skilled employee,male
139,461,12,repaid,radio/tv,1881,8,2 years,2,,none,8 months,other,44,none,rent,1,0,1,+2341810639,yes,unskilled resident,female
140,881,6,repaid,car (new),709,12048,6 months,2,married,none,5 months,real estate,27,none,own,1,0,1,,no,unemployed non-resident,male
141,67,36,repaid,radio/tv,4795,51,9 months,4,,none,,unknown/none,30,none,own,1,0,1,+2347963787,yes,mangement self-employed,female
142,-39,27,repaid,radio/tv,3416,35,3 years,3,single,none,8 months,other,27,none,own,1,0,1,,yes,mangement self-employed,male
143,-15,18,repaid,furniture,2462,18,2 years,2,single,none,4 months,other,22,none,own,1,1,1,,yes,skilled employee,male
144,,21,critical,furniture,2288,2,6 months,4,,none,21 years,building society savings,23,none,own,1,0,1,+2348021683,yes,skilled employee,female
145,40,48,fully repaid this bank,business,3566,416,7 years,4,single,none,0 months,other,30,none,own,1,0,1,,yes,skilled employee,male
146,-19,6,critical,car (new),860,80,14 years,1,,none,18 years,unknown/none,39,none,own,2,0,1,+2343972993,yes,skilled employee,female
147,,12,critical,car (new),682,184,4 years,4,,none,4 years,other,51,none,own,2,0,1,+2344418858,yes,skilled employee,female
148,-29,36,critical,furniture,5371,80,3 years,3,single,guarantor,1 months,building society savings,28,none,own,2,0,1,,yes,skilled employee,male
149,,18,critical,radio/tv,1582,2657,13 years,4,single,none,11 years,other,46,none,own,2,0,1,,yes,skilled employee,male
150,,6,repaid,radio/tv,1346,385,16 years,2,single,none,17 years,unknown/none,42,bank,for free,1,0,2,+2348879852,yes,skilled employee,male
151,,10,repaid,radio/tv,1924,5,2 years,1,single,none,22 years,building society savings,38,none,own,1,0,1,+2343704356,no,skilled employee,male
152,404,36,repaid,radio/tv,5848,85,2 years,4,single,none,,other,24,none,own,1,0,1,,yes,skilled employee,male
153,177,24,critical,car (used),7758,12300,18 years,2,,none,7 years,unknown/none,29,none,rent,1,0,1,,yes,skilled employee,female
154,151,24,delayed,business,6967,112,6 years,4,single,none,7 years,other,36,none,rent,1,0,1,+2346994228,yes,mangement self-employed,male
155,-45,12,repaid,furniture,1282,66,2 years,2,,none,20 years,other,20,none,rent,1,1,1,,yes,skilled employee,female
156,-48,9,critical,repairs,1288,314,11 years,3,single,guarantor,24 years,real estate,48,none,own,2,0,2,,no,skilled employee,male
157,-34,12,fully repaid this bank,retraining,339,9,10 years,4,married,none,,other,45,bank,own,1,0,1,,yes,unskilled resident,male
158,32,24,repaid,car (new),3512,212,5 years,2,single,none,1 years,other,38,bank,own,2,0,1,+2340525322,yes,skilled employee,male
159,,6,critical,radio/tv,1898,,2 years,1,single,none,11 months,real estate,34,none,own,2,0,2,,yes,unskilled resident,male
160,,24,critical,radio/tv,2872,281,15 years,3,single,none,18 years,real estate,36,none,own,1,0,2,+2345158791,yes,skilled employee,male
161,,18,critical,car (new),1055,15,2 months,4,,none,,building society savings,30,none,own,2,0,1,,yes,skilled employee,female
162,,15,repaid,domestic appliances,1262,686,4 years,4,single,none,2 years,building society savings,36,none,own,2,0,1,+2342300177,yes,skilled employee,male
163,196,10,repaid,car (new),7308,30,,2,single,none,24 years,unknown/none,70,bank,for free,1,0,1,+2349246054,yes,mangement self-employed,male
164,,36,repaid,car (new),909,893,8 years,4,single,none,8 years,building society savings,36,none,own,1,0,1,,yes,skilled employee,male
165,,6,repaid,furniture,2978,958,2 years,1,single,none,8 months,other,32,none,own,1,0,1,+2343583711,yes,skilled employee,male
166,-11,18,repaid,furniture,1131,11,,4,,none,9 months,other,33,none,own,1,1,1,,yes,skilled employee,female
167,172,11,repaid,furniture,1577,19835,9 months,4,,none,,real estate,20,none,own,1,0,1,,yes,skilled employee,female
168,,24,repaid,furniture,3972,51,4 years,2,,none,16 years,building society savings,25,none,rent,1,0,1,+2341180005,yes,skilled employee,female
169,78,24,critical,business,1935,90,19 years,4,divorced,none,15 years,real estate,31,none,own,2,1,1,+2340394461,yes,skilled employee,male
170,-29,15,fully repaid,car (new),950,38,7 years,4,single,none,4 years,other,33,none,rent,2,1,2,,yes,skilled employee,male
171,,12,repaid,furniture,763,89,3 years,4,,none,,real estate,26,none,own,1,0,1,+2346731504,yes,skilled employee,female
172,109,24,delayed,furniture,2064,28,,3,,none,11 months,building society savings,34,none,own,1,1,1,+2343022760,yes,mangement self-employed,female
173,75,8,repaid,radio/tv,1414,88,3 years,4,single,guarantor,3 months,real estate,33,none,own,1,0,1,,no,skilled employee,male
174,-29,21,delayed,education,3414,5,3 months,2,single,none,,building society savings,26,none,own,2,1,1,,yes,skilled employee,male
175,,30,fully repaid this bank,car (used),7485,,,4,,none,,real estate,53,bank,own,1,1,1,+2340939307,yes,mangement self-employed,female
176,-5,12,repaid,furniture,2577,14,2 years,2,divorced,none,,other,42,none,own,1,0,1,,yes,skilled employee,male
177,-37,6,critical,radio/tv,338,838,19 years,4,single,none,14 years,other,52,none,own,2,0,1,,yes,skilled employee,male
178,,12,repaid,radio/tv,1963,90,4 years,4,single,none,2 months,other,31,none,rent,2,0,2,+2341056264,yes,mangement self-employed,male
179,-49,21,critical,car (new),571,59,9 years,4,single,none,10 years,real estate,65,none,own,2,0,1,,yes,skilled employee,male
180,,36,delayed,business,9572,5,9 months,1,divorced,none,,other,28,none,own,2,1,1,,yes,skilled employee,male
181,1,36,delayed,business,4455,30,1 years,2,divorced,none,10 months,real estate,30,stores,own,2,1,1,+2349833593,yes,mangement self-employed,male
182,-42,21,fully repaid this bank,car (new),1647,,1 years,4,single,none,3 months,building society savings,40,none,own,2,1,2,,yes,unskilled resident,male
183,,24,critical,furniture,3777,5073,2 years,4,single,none,23 years,real estate,50,none,own,1,0,1,+2341034456,yes,skilled employee,male
184,72,18,critical,car (new),884,13,7 years,4,single,none,10 years,other,36,bank,own,1,1,2,+2349334908,yes,skilled employee,male
185,,15,critical,radio/tv,1360,24,1 years,4,single,none,2 months,building society savings,31,none,own,2,0,1,,yes,skilled employee,male
186,42,9,fully repaid this bank,car (used),5129,49,15 years,2,,none,10 years,unknown/none,74,bank,for free,1,1,2,+2349982999,yes,mangement self-employed,female
187,57,16,critical,car (new),1175,83,,2,single,none,2 years,other,68,none,for free,3,0,1,+2346796980,yes,unemployed non-resident,male
188,-18,12,repaid,radio/tv,674,311,5 years,4,married,none,,building society savings,20,none,own,1,1,1,,yes,skilled employee,male
189,193,18,fully repaid,furniture,3244,8,1 years,1,,none,5 years,other,33,bank,own,2,0,1,+2341253576,yes,skilled employee,female
190,,24,repaid,business,4591,18484,1 years,2,single,none,3 years,building society savings,54,none,own,3,1,1,+2347269245,yes,mangement self-employed,male
191,39,48,fully repaid,business,3844,289,4 years,4,single,none,10 years,unknown/none,34,none,for free,1,1,2,,yes,unskilled resident,male
192,130,27,repaid,business,3915,18,1 years,4,single,none,8 months,other,36,none,own,1,1,2,+2346300855,yes,skilled employee,male
193,,6,repaid,radio/tv,2108,42,7 years,2,married,none,0 months,real estate,29,none,rent,1,0,1,,yes,skilled employee,male
194,156,45,repaid,radio/tv,3031,331,2 years,4,single,guarantor,11 years,building society savings,21,none,rent,1,1,1,,yes,skilled employee,male
195,97,9,critical,education,1501,78,18 years,2,,none,2 years,other,34,none,own,2,1,1,+2348664576,yes,mangement self-employed,female
196,,6,critical,radio/tv,1382,16,2 years,1,,none,,other,28,none,own,2,0,1,+2346009677,yes,skilled employee,female
197,63,12,repaid,furniture,951,416,7 months,4,,none,11 years,other,27,bank,rent,4,1,1,,yes,skilled employee,female
198,130,24,repaid,car (used),2760,,16 years,4,single,none,11 years,unknown/none,36,bank,for free,1,0,1,+2344174930,yes,skilled employee,male
199,132,18,delayed,furniture,4297,64,19 years,4,divorced,none,1 years,unknown/none,40,none,own,1,1,1,+2340379129,yes,mangement self-employed,male
200,,9,critical,education,936,601,8 years,4,single,none,4 months,other,52,none,own,2,0,1,+2343781692,yes,skilled employee,male
201,-1,12,repaid,car (new),1168,66,3 years,4,married,none,2 years,real estate,27,none,own,1,0,1,,yes,unskilled resident,male
202,,27,delayed,business,5117,33,4 years,3,single,none,13 years,other,26,none,own,2,0,1,,yes,skilled employee,male
203,-2,12,repaid,retraining,902,47,4 years,4,married,none,7 years,building society savings,21,none,rent,1,1,1,,yes,skilled employee,male
204,,12,critical,car (new),1495,13,18 years,4,single,none,,real estate,38,none,own,2,0,2,,yes,unskilled resident,male
205,-26,30,critical,car (used),10623,26,11 years,3,single,none,5 years,unknown/none,38,none,for free,3,0,2,+2341905182,yes,mangement self-employed,male
206,,12,critical,furniture,1935,39,7 years,4,single,none,24 years,real estate,43,none,own,3,0,1,+2348939309,yes,skilled employee,male
207,147,12,critical,domestic appliances,1424,59,6 years,4,single,none,1 years,building society savings,26,none,own,1,0,1,,yes,skilled employee,male
